"Spanish";"Danish";"Icelandic";"Estonian";"Finnish";"Norwegian";"Czech";"Romanian";"Albanian";"English";"French";"German";"Portuguese";"Polish";"Latvian";"Dutch";"Lithuanian";"Swedish";"Italian";"Croatian"
"Y dijo Dios: Produzca la tierra hierba verde, hierba que haga simiente; árbol de fruto que haga fruto según su naturaleza, que su simiente esté en él sobre la tierra; y fue así.
";"Derpaa sagde Gud: »Jorden lade fremspire grønne Urter, der bærer Frø, og Frugttræer, der bærer Frugt med Kærne, paa Jorden!« Og saaledes skete det:
";"Þá sagði Guð: „Jörðin láti gróður af sér spretta, sáðjurtir og aldintré af öllum tegundum jarðar sem bera ávöxt með sæði.“ Og það varð svo.
";"Ja Jumal ütles: „Maast tärgaku haljas rohi, seemet kandvad taimed, viljapuud, mille viljas nende seeme on, nende liikide järgi maa peale!” Ja nõnda sündis:
";"Ja Jumala sanoi: ""Kasvakoon maa vihantaa, ruohoja, jotka tekevät siementä, ja hedelmäpuita, jotka lajiensa mukaan kantavat maan päällä hedelmää, jossa niiden siemen on"". Ja tapahtui niin:
";"Og Gud sa: Jorden bære frem gress, urter som sår sig, frukttrær som bærer frukt med deres frø i, på jorden, hvert efter sitt slag. Og det blev så. 
";"Potom řekl Bůh: Zploď země trávu, a bylinu vydávající símě, a strom plodný, nesoucí ovoce podlé pokolení svého, v němž by bylo símě jeho na zemi. A stalo se tak.
";"Apoi Dumnezeu a zis: ,,Să dea pămîntul verdeaţă, iarbă cu sămînţă, pomi roditori, cari să facă rod după soiul lor şi cari să aibă în ei sămînţa lor pe pămînt. Şi aşa a fost.
";"Pastaj Perëndia tha: ""Të mbijë toka gjelbërimin, barërat të nxjerrin farë dhe drurët frutore të japin në tokë një frut që të përmbajë farën e tij, secili simbas llojit të tij"". Dhe kështu u bë.
";"And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth: and it was so.
";"Puis Dieu dit : Que la terre pousse son jet, de l'herbe portant de la semence, et des arbres fruitiers, portant du fruit selon leur espèce, qui aient leur semence en eux-mêmes sur la terre; et il fut ainsi.
";"Und Gott sprach: Es lasse die Erde aufgehen Gras und Kraut, das sich besame, und fruchtbare Bäume, da ein jeglicher nach seiner Art Frucht trage und habe seinen eigenen Samen bei sich selbst auf Erden. Und es geschah also.
";"E disse Deus: Produza a terra relva, ervas que dêem semente, e árvores frutíferas que, segundo as suas espécies, dêem fruto que tenha em si a sua semente, sobre a terra. E assim foi.
";"I widział Bóg, że to było dobre. Potem rzekł Bóg: Niech zrodzi ziemia trawę, ziele, wydawające nasienie, i drzewo rodzajne, czyniące owoc, według rodzaju swego, którego by nasienie było w nim na ziemi; i stało się tak.
";"Tad Dievs sacīja: ""Lai zeme izdod zāli un augus, kas sēklu nes, un augļu kokus, kas augļus nes, pēc savas kārtas, kam sēkla sevī, virs zemes."" Un tā tapa.
";"En God zeide: Dat de aarde uitschiete grasscheutjes, kruid zaadzaaiende, vruchtbaar geboomte, dragende vrucht naar zijn aard, welks zaad daarin zij op de aarde! En het was alzo.
";"Dievas tarė: “Tegul žemė išaugina žolę, augalus, duodančius sėklą, ir vaismedžius, nešančius vaisių pagal jų rūšį, kuriuose yra jų sėkla!” Ir taip įvyko.
";"Och Gud sade: »Frambringe jorden grönska, fröbärande örter och fruktträd, som efter sina arter bära frukt, vari de hava sitt frö, på jorden.» Och det skedde så;
";"Poi Dio disse: ""Produca la terra della verdura, dell’erbe che faccian seme e degli alberi fruttiferi che, secondo la loro specie, portino del frutto avente in sé la propria semenza, sulla terra"". E così fu.
";"I rece Bog: ""Neka proklija zemlja zelenilom - travom sjemenitom, stablima plodonosnim, koja, svako prema svojoj vrsti, na zemlji donose plod sto u sebi nosi svoje sjeme. I bi tako.
"
"Y produjo la tierra hierba verde, hierba que hace simiente según su naturaleza, y árbol que hace fruto, cuya simiente está en él según su naturaleza; y vio Dios que era bueno.
";"Jorden frembragte grønne Urter, der bar Frø, efter deres Arter, og Træer, der bar Frugt med Kærne, efter deres Arter. Og Gud saa, at det var godt.
";"Jörðin lét gróður af sér spretta, alls kyns sáðjurtir og aldintré af öllum tegundum sem bera ávöxt með fræi. Og Guð sá að það var gott.
";"maa laskis võrsuda haljast rohtu, seemet kandvaid taimi nende liikide järgi, ja viljapuid, mille viljas nende seeme on, nende liikide järgi. Ja Jumal nägi, et see hea oli.
";"maa tuotti vihantaa, ruohoja, jotka tekivät siementä lajiensa mukaan, ja puita, jotka lajiensa mukaan kantoivat hedelmää, jossa niiden siemen oli. Ja Jumala näki, että se oli hyvä.
";"Og jorden bar frem gress, urter som sår sig, hver efter sitt slag, og trær som bærer frukt med deres frø i, hvert efter sitt slag. Og Gud så at det var godt. 
";"Nebo země vydala trávu, a bylinu nesoucí semeno podlé pokolení svého, i strom přinášející ovoce, v němž bylo símě jeho, podlé pokolení jeho. A viděl Bůh, že to bylo dobré.
";"Pămîntul a dat verdeaţă, iarbă cu sămînţă după soiul ei, şi pomi cari fac rod şi cari îşi au sămînţa în ei, după soiul lor. Dumnezeu a văzut că lucrul acesta era bun.
";"Dhe toka prodhoi gjelbërim, barëra që e bënin farën simbas llojit të tyre dhe drurë që mbanin fruta me farën e tyre brenda, secili simbas llojit të vet. Dhe Perëndia e pa se kjo ishte mirë.
";"And the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in itself, after his kind: and God saw that it was good.
";"La terre donc produisit son jet, savoir de l'herbe portant de la semence selon son espèce; et des arbres portant du fruit, qui avaient leur semence en eux-mêmes, selon leur espèce; et Dieu vit que cela était bon.
";"Und die Erde ließ aufgehen Gras und Kraut, das sich besamte, ein jegliches nach seiner Art, und Bäume, die da Frucht trugen und ihren eigenen Samen bei sich selbst hatten, ein jeglicher nach seiner Art. Und Gott sah, daß es gut war.
";"A terra, pois, produziu relva, ervas que davam semente segundo as suas espécies, e árvores que davam fruto que tinha em si a sua semente, segundo as suas espécies. E viu Deus que isso era bom.
";"I zrodziła ziemia trawę, ziele wydawające nasienie, według rodzaju swego, i drzewo czyniące owoc, w którym nasienie jego, według rodzaju swego; i widział Bóg, że to było dobre.
";"Un zeme izdeva zāli un augus, kas savu sēklu nes, pēc savas kārtas, un kokus, kas augļus nes, kam sēkla sevī, pēc savas kārtas. Un Dievs redzēja to labu esam.
";"En de aarde bracht voort grasscheutjes, kruid zaadzaaiende naar zijn aard, en vruchtdragend geboomte, welks zaad daarin was, naar zijn aard. En God zag, dat het goed was.
";"Žemė išaugino žolę, augalus, duodančius sėklą pagal jų rūšį, ir medžius, nešančius vaisius pagal jų rūšį, kuriuose yra jų sėkla. Ir Dievas matė, kad tai buvo gerai.
";"jorden frambragte grönska, fröbärande örter, efter deras arter, och träd som efter sina arter buro frukt, vari de hade sitt frö. Och Gud såg att det var gott.
";"E la terra produsse della verdura, dell’erbe che facevan seme secondo la loro specie, e degli alberi che portavano del frutto avente in sé la propria semenza, secondo la loro specie. E Dio vide che questo era buono.
";"I nikne iz zemlje zelena trava sto se sjemeni, svaka prema svojoj vrsti, i stabla koja rode plodovima sto u sebi nose svoje sjeme, svako prema svojoj vrsti. I vidje Bog da je dobro.
"
"Y fue la tarde y la mañana el día tercero.
";"Og det blev Aften, og det blev Morgen, tredje Dag.
";"Það varð kvöld og það varð morgunn, hinn þriðji dagur.
";"Siis sai õhtu ja sai hommik, — kolmas päev.
";"Ja tuli ehtoo, ja tuli aamu, kolmas päivä.
";"Og det blev aften, og det blev morgen, tredje dag. 
";"I byl večer a bylo jitro, den třetí.
";"Astfel, a fost o seară, şi apoi a fost o dimineaţă: aceasta a fost ziua a treia.
";"Kështu erdhi mbrëmja, pastaj erdhi mëngjesi; dita e tretë.
";"And the evening and the morning were the third day.
";"Ainsi fut le soir, ainsi fut le matin; ce fut le troisième jour.
";"Da ward aus Abend und Morgen der dritte Tag.
";"E foi a tarde e a manhã, o dia terceiro.
";"I stał się wieczór, i stał się zaranek, dzień trzeci.
";"Un tapa vakars un tapa rīts - trešā diena.
";"Toen was het avond geweest, en het was morgen geweest, de derde dag.
";"Tai buvo vakaras ir rytas­ trečioji diena.
";"Och det vart afton, och det vart morgon, den tredje dagen.
";"Così fu sera, poi fu mattina: e fu il terzo giorno.
";"Tako bude vecer, pa jutro - dan treci.
"
"Y dijo Dios: Sean luminarias en el extendimiento de los cielos para apartar el día y la noche; y sean por señales, y por tiempos determinados, y por días y años;
";"Derpaa sagde Gud: »Der komme Lys paa Himmelhvælvingen til at skille Dag fra Nat, og de skal være til Tegn og til Fastsættelse af Højtider, Dage og Aar
";"Þá sagði Guð: „Verði ljós á hvelfingu himins til þess að greina dag frá nóttu. Þau skulu vera tákn til þess að marka tíðir, daga og ár
";"Ja Jumal ütles: „Saagu valgused taevalaotusse eraldama päeva ööst! Tähistagu need seatud aegu, päevi ja aastaid,
";"Ja Jumala sanoi: ""Tulkoot valot taivaanvahvuuteen erottamaan päivää yöstä, ja olkoot ne merkkeinä osoittamassa aikoja, päiviä ja vuosia,
";"Og Gud sa: Det bli lys på himmelhvelvingen til å skille dagen fra natten! Og de skal være til tegn og fastsatte tider og dager og år. 
";"Opět řekl Bůh: Buďte světla na obloze nebeské, aby oddělovala den od noci, a byla na znamení a rozměření časů, dnů a let.
";"Dumnezeu a zis: ,,Să fie nişte luminători în întinderea cerului, ca să despartă ziua de noapte; ei să fie nişte semne cari să arate vremile, zilele şi anii;
";"Pastaj Perëndia tha: ""Të ketë ndriçues në kupën qiellore për të ndarë ditën nga nata; dhe të shërbejnë si shenja, për të dalluar stinët, ditët dhe vitet;
";"And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years:
";"Puis Dieu dit : Qu'il y ait des luminaires dans l'étendue des cieux, pour séparer la nuit d'avec le jour, et qui servent de signes pour les saisons, et pour les jours, et pour les années;
";"Und Gott sprach: Es werden Lichter an der Feste des Himmels, die da scheiden Tag und Nacht und geben Zeichen, Zeiten, Tage und Jahre
";"E disse Deus: haja luminares no firmamento do céu, para fazerem separação entre o dia e a noite; sejam eles para sinais e para estações, e para dias e anos;
";"I rzekł Bóg: Niech będą światła na rozpostarciu niebieskim, ku rozdzielaniu dnia od nocy, a niech będą na znaki, i pewne czasy, i dni, i lata.
";"Tad Dievs sacīja: ""Lai top spīdekļi debess velvē, lai šķirtu dienu no nakts, un tie lai ir par zīmēm un laikiem, un dienām, un gadiem,
";"En God zeide: Dat er lichten zijn in het uitspansel des hemels, om scheiding te maken tussen den dag en tussen den nacht; en dat zij zijn tot tekenen en tot gezette tijden, en tot dagen en jaren!
";"Dievas tarė: “Teatsiranda šviesos dangaus tvirtumoje dienai nuo nakties atskirti ir tebūna jos ženklai pažymėti laikus, dienas ir metus.
";"Och Gud sade: »Varde på himmelens fäste ljus som skilja dagen från natten, och vare de till tecken och till att utmärka särskilda tider, dagar och år,
";"Poi Dio disse: ""Sianvi de’ luminari nella distesa dei cieli per separare il giorno dalla notte; e siano dei segni e per le stagioni e per i giorni e per gli anni;
";"I rece Bog: ""Neka budu svjetlila na svodu nebeskom da luce dan od noci, da budu znaci blagdanima, danima i godinama,
"
"y sean por luminarias en el extendimiento de los cielos para alumbrar sobre la tierra; y fue así.
";"og tjene som Lys paa Himmelhvælvingen til at lyse paa Jorden!« Og saaledes sket det:
";"og þau skulu vera ljósgjafar á festingu himins til þess að bera jörðinni birtu.“ Og það varð svo.
";"olgu nad valgusteks taevalaotuses, valgustuseks maale!” Ja nõnda sündis:
";"ja olkoot valoina taivaanvahvuudella paistamassa maan päälle"". Ja tapahtui niin:
";"Og de skal være til lys på himmelhvelvingen, til å lyse over jorden. Og det blev så. 
";"A aby svítila na obloze nebeské, a osvěcovala zemi. A stalo se tak.
";"şi să slujească de luminători în întinderea cerului, ca să lumineze pămîntul. Şi aşa a fost.
";"dhe të shërbejnë si ndriçues në kupën qiellore për të ndriçuar tokën"". Dhe kështu u bë.
";"And let them be for lights in the firmament of the heaven to give light upon the earth: and it was so.
";"Et qui soient pour luminaires dans l'étendue des cieux, afin d'éclairer la terre; et il fut ainsi.
";"und seien Lichter an der Feste des Himmels, daß sie scheinen auf Erden. Und es geschah also.
";"e sirvam de luminares no firmamento do céu, para alumiar a terra. E assim foi.
";"I niech będą za światła na rozpostarciu nieba, aby świeciły nad ziemią; i stało się tak.
";"un tie lai ir par spīdekļiem debess velvē gaismot pār zemi."" Un tā tapa.
";"En dat zij zijn tot lichten in het uitspansel des hemels, om licht te geven op de aarde! En het was alzo.
";"Jos težiba dangaus tvirtumoje ir apšviečia žemę!” Ir taip įvyko.
";"och vare de på himmelens fäste till ljus som lysa över jorden.» Och det skedde så;
";"e servano da luminari nella distesa dei cieli per dar luce alla terra"". E così fu.
";"i neka svijetle na svodu nebeskom i rasvjetljuju zemlju!"" I bi tako.
"
"E hizo Dios las dos luminarias grandes; la luminaria grande para que señorease en el día, y la luminaria pequeña para que señorease en la noche, y las estrellas.
";"Gud gjorde de to store Lys, det største til at herske om Dagen, det mindste til at herske om Natten, og Stjernerne;
";"Guð gerði tvö stóru ljósin, stærra ljósið til að ráða degi og minna ljósið til að ráða nóttu, og einnig stjörnurnar.
";"Jumal tegi kaks suurt valgust: suurema valguse valitsema päeval ja väiksema valguse valitsema öösel, ning tähed.
";"Jumala teki kaksi suurta valoa, suuremman valon hallitsemaan päivää ja pienemmän valon hallitsemaan yötä, sekä tähdet.
";"Og Gud gjorde de to store lys, det største til å råde om dagen og det mindre til å råde om natten, og stjernene. 
";"I učinil Bůh dvě světla veliká, světlo větší, aby správu drželo nade dnem, a světlo menší, aby správu drželo nad nocí; též i hvězdy.
";"Dumnezeu a făcut cei doi mari luminători, şi anume: luminătorul cel mai mare ca să stăpînească ziua, şi luminătorul cel mai mic ca să stăpînească noaptea; a făcut şi stelele.
";"Perëndia krijoi pastaj dy ndriçues të mëdhenj: ndriçuesin e madhë për qeverisjen e ditës dhe ndriçuesin e vogël për qeverisjen e natës; ai krijoi gjithashtu yjet.
";"And God made two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also.
";"Dieu donc fit deux grands luminaires, le plus grand luminaire pour dominer sur le jour, et le moindre pour dominer sur la nuit; il fit aussi les étoiles.
";"Und Gott machte zwei große Lichter: ein großes Licht, das den Tag regiere, und ein kleines Licht, das die Nacht regiere, dazu auch Sterne.
";"Deus, pois, fez os dois grandes luminares: o luminar maior para governar o dia, e o luminar menor para governar a noite; fez também as estrelas.
";"I uczynił Bóg dwa światła wielkie: światło większe, aby rządziło dzień, a światło mniejsze, aby rządziło noc, i gwiazdy.
";"Tad Dievs radīja divus lielus spīdekļus: lielāko spīdekli, lai valdītu dienu, un mazāko spīdekli, lai valdītu nakti, un zvaigznes radīja.
";"God dan maakte die twee grote lichten; dat grote licht tot heerschappij des daags, en dat kleine licht tot heerschappij des nachts; ook de sterren.
";"Dievas padarė dvi dideles šviesas: didesniąją­ dienai ir mažesniąją nakčiai valdyti, ir taip pat žvaigždes.
";"Gud gjorde de två stora ljusen, det större ljuset till att råda över dagen, och det mindre ljuset till att råda över natten, så ock stjärnorna.
";"E Dio fece i due grandi luminari: il luminare maggiore, per presiedere al giorno, e il luminare minore per presiedere alla notte; e fece pure le stelle.
";"I nacini Bog dva velika svjetlila - vece da vlada danom, manje da vlada nocu - i zvijezde.
"
"Y las puso Dios en el extendimiento de los cielos, para alumbrar sobre la tierra,
";"og Gud satte dem paa Himmelhvælvingen til at lyse paa Jorden
";"Og Guð setti þau á festingu himinsins til þess að bera jörðinni birtu
";"Ja Jumal pani need taevalaotusse, et nad valgustaksid maad
";"Ja Jumala pani ne taivaanvahvuuteen, paistamaan maan päälle
";"Og Gud satte dem på himmelhvelvingen til å lyse over jorden 
";"A postavil je Bůh na obloze nebeské, aby osvěcovala zemi;
";"Dumnezeu i -a aşezat în întinderea cerului, ca să lumineze pămîntul,
";"Dhe Perëndia i vendosi në kupën qiellore për të ndriçuar tokën,
";"And God set them in the firmament of the heaven to give light upon the earth,
";"Et Dieu les mit dans l'étendue des cieux pour éclairer la terre,
";"Und Gott setzte sie an die Feste des Himmels, daß sie schienen auf die Erde
";"E Deus os pôs no firmamento do céu para alumiar a terra,
";"I postawił je Bóg na rozpostarciu nieba, aby świeciły nad ziemią.
";"Un Dievs tos lika debess velvē, lai tie gaismotu pār zemi
";"En God stelde ze in het uitspansel des hemels, om licht te geven op de aarde.
";"Dievas išdėstė jas dangaus tvirtumoje, kad šviestų žemei,
";"Och Gud satte dem på himmelens fäste till att lysa över jorden,
";"E Dio li mise nella distesa dei cieli per dar luce alla terra,
";"I Bog ih postavi na svod nebeski da rasvjetljuju zemlju,
"
"y para señorear en el día y en la noche, y para apartar la luz y las tinieblas; y vio Dios que era bueno.
";"og til at herske over Dagen og Natten og til at skille Lyset fra Mørket. Og Gud saa, at det var godt.
";"og ráða degi og nóttu og til að greina ljós frá myrkri. Og Guð sá að það var gott.
";"ja valitseksid päeval ja öösel ja eraldaksid valguse pimedusest. Ja Jumal nägi, et see hea oli.
";"ja hallitsemaan päivää ja yötä ja erottamaan valon pimeästä. Ja Jumala näki, että se oli hyvä.
";"og til å råde om dagen og om natten og til å skille lyset fra mørket. Og Gud så at det var godt. 
";"A aby správu držela nade dnem a nocí, a oddělovala světlo od tmy. A viděl Bůh, že to bylo dobré.
";"să stăpînească ziua şi noaptea, şi să despartă lumina de întunerec. Dumnezeu a văzut că lucrul acesta era bun.
";"për të qeverisur ditën dhe natën dhe për ta ndarë dritën nga errësira. Dhe Perëndia e pa që kjo ishte mirë.
";"And to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good.
";"Et pour dominer sur le jour et sur la nuit, et pour séparer la lumière des ténèbres; et Dieu vit que cela était bon.
";"und den Tag und die Nacht regierten und schieden Licht und Finsternis. Und Gott sah, daß es gut war.
";"para governar o dia e a noite, e para fazer separação entre a luz e as trevas. E viu Deus que isso era bom.
";"I żeby rządziły dzień i noc, i czyniły rozdział między światłością, i między ciemnością; i widział Bóg, że to było dobre.
";"un valdītu dienā un naktī un lai šķirtu gaismu no tumsas. Un Dievs redzēja to labu esam.
";"En om te heersen op den dag, en in den nacht, en om scheiding te maken tussen het licht en tussen de duisternis. En God zag, dat het goed was.
";"valdytų dieną bei naktį ir atskirtų šviesą nuo tamsos. Ir Dievas matė, kad tai buvo gerai.
";"och till att råda över dagen och över natten, och till att skilja ljuset från mörkret. Och Gud såg att det var gott.
";"per presiedere al giorno e alla notte e separare la luce dalle tenebre. E Dio vide che questo era buono.
";"da vladaju danom i nocu i da rastavljaju svjetlost od tame. I vidje Bog da je dobro.
"
"Y fue la tarde y la mañana el día cuarto.
";"Og det blev Aften, og det blev Morgen, fjerde Dag.
";"Það varð kvöld og það varð morgunn, hinn fjórði dagur.
";"Siis sai õhtu ja sai hommik, — neljas päev.
";"Ja tuli ehtoo, ja tuli aamu, neljäs päivä.
";"Og det blev aften, og det blev morgen, fjerde dag. 
";"I byl večer a bylo jitro, den čtvrtý.
";"Astfel, a fost o seară, şi apoi a fost o dimineaţă: aceasta a fost ziua a patra.
";"Kështu erdhi mbrëmja dhe erdhi mëngjesi: dita e katërt.
";"And the evening and the morning were the fourth day.
";"Ainsi fut le soir, ainsi fut le matin; ce fut le quatrième jour.
";"Da ward aus Abend und Morgen der vierte Tag.
";"E foi a tarde e a manhã, o dia quarto.
";"I stał się wieczór, i stał się zaranek, dzień czwarty.
";"Un tapa vakars un tapa rīts - ceturtā diena.
";"Toen was het avond geweest, en het was morgen geweest, de vierde dag.
";"Tai buvo vakaras ir rytas­ ketvirtoji diena.
";"Och det vart afton, och det vart morgon, den fjärde dagen.
";"Così fu sera, poi fu mattina: e fu il quarto giorno.
";"Tako bude vecer, pa jutro - dan cetvrti.
"
"Y dijo Dios: Produzcan las aguas gran cantidad de criaturas de alma viviente, y aves que vuelen sobre la tierra, sobre la faz del extendimiento de los cielos.
";"Derpaa sagde Gud: »Vandet vrimle med en Vrimmel af levende Væsener, og Fugle flyve over Jorden oppe under Himmelhvælvingen!« Og saaledes skete det:
";"Þá sagði Guð: „Vötnin verði kvik af lífverum og fuglar fljúgi yfir jörðinni undir hvelfingu himins.“
";"Ja Jumal ütles: „Vesi kihagu elavaist olendeist, ja maa peal lennaku linnud taevalaotuse poole!”
";"Ja Jumala sanoi: ""Viliskööt vedet eläviä olentoja, ja lentäkööt linnut maan päällä, taivaanvahvuuden alla"".
";"Og Gud sa: Det vrimle av liv i vannet, og fugler flyve over jorden under himmelhvelvingen! 
";"Řekl ještě Bůh: Vydejte vody hmyz duše živé v hojnosti, a
";"Dumnezeu a zis: ,,Să mişune apele de vieţuitoare, şi să sboare păsări deasupra pămîntului pe întinderea cerului.
";"Pastaj Perëndia tha: ""Të mbushen ujërat nga një numër i madh qeniesh të gjalla dhe të fluturojnë zogjtë lart mbi tokë nëpër hapësirën e madhe të kupës qiellore"".
";"And God said, Let the waters bring forth abundantly the moving creature that hath life, and fowl that may fly above the earth in the open firmament of heaven.
";"Puis Dieu dit : Que les eaux produisent en toute abondance des reptiles qui aient vie; et qu'il y ait des oiseaux, qui volent sur la terre vers l'étendue des cieux.
";"Und Gott sprach: Es errege sich das Wasser mit webenden und lebendigen Tieren, und Gevögel fliege auf Erden unter der Feste des Himmels.
";"E disse Deus: Produzam as águas cardumes de seres viventes; e voem as aves acima da terra no firmamento do céu.
";"I rzekł Bóg: Niech hojnie wywiodą wody płaz duszy żywiącej; a ptactwo niech lata nad ziemią, pod rozpostarciem niebieskim.
";"Tad Dievs sacīja: ""Lai ūdeņos mudžēt mudž dzīvu radījumu pulki, un putni lai lido pār zemi, pār debess velvi.""
";"En God zeide: Dat de wateren overvloediglijk voortbrengen een gewemel van levende zielen; en het gevogelte vliege boven de aarde, in het uitspansel des hemels!
";"Dievas tarė: “Tegul vandenys knibždėte knibžda gyvūnais ir paukščiai teskraido virš žemės, padangėse!”
";"Och Gud sade: »Frambringe vattnet ett vimmel av levande varelser; flyge ock fåglar över jorden under himmelens fäste.»
";"Poi Dio disse: ""Producano le acque in abbondanza animali viventi, e volino degli uccelli sopra la terra per l’ampia distesa del cielo"".
";"I rece Bog: ""Nek' povrvi vodom vreva zivih stvorova, i ptice nek' polete nad zemljom, svodom nebeskim!"" I bi tako.
"
"Y creó Dios las grandes ballenas, y todo animal que respira, que las aguas produjeron según sus naturalezas, y toda ave de alas según su naturaleza; y vio Dios que era bueno.
";"Gud skabte de store Havdyr og den hele Vrimmel af levende Væsener, som Vandet vrimler med, efter deres Arter, og alle vingede Væsener efter deres Arter. Og Gud saa, at det var godt.
";"Og Guð skapaði hin stóru sjávardýr og alls kyns skepnur, sem lifa og hrærast og vötnin eru kvik af, og alla fleyga fugla eftir þeirra tegundum. Og Guð sá að það var gott.
";"Ja Jumal lõi suured mereloomad ja kõiksugu elavad olendid, kellest vesi kihab, nende liikide järgi, ja kõiksugu tiibadega linnud nende liikide järgi. Ja Jumal nägi, et see hea oli.
";"Ja Jumala loi suuret merieläimet ja kaikkinaiset liikkuvat, vesissä vilisevät elävät olennot, kunkin lajinsa mukaan, ja kaikkinaiset siivekkäät linnut, kunkin lajinsa mukaan. Ja Jumala näki, että se oli hyvä.
";"Og Gud skapte de store sjødyr og alt levende som rører sig, som det vrimler av i vannet, hvert efter sitt slag, og alle vingede fugler, hver efter sitt slag. Og Gud så at det var godt. 
";"I stvořil Bůh velryby veliké a všelijakou duši živou, hýbající se, kteroužto v hojnosti vydaly vody podlé pokolení jejich, a všeliké ptactvo křídla mající, podlé pokolení jeho. A viděl Bůh, že to bylo dobré.
";"Dumnezeu a făcut peştii cei mari şi toate vieţuitoarele cari se mişcă şi de cari mişună apele, după soiurile lor; a făcut şi orice pasăre înaripată după soiul ei. Dumnezeu a văzut că erau bune.
";"Kështu Perëndia krijoi kafshët e mëdha ujore dhe të gjitha gjallesat që lëvizin dhe që mbushin ujërat, secili simbas llojit të vet, e çdo shpend fluturues simbas llojit të vet. Dhe Perëndia e pa se kjo ishte mirë.
";"And God created great whales, and every living creature that moveth, which the waters brought forth abundantly, after their kind, and every winged fowl after his kind: and God saw that it was good.
";"Dieu donc créa les grandes baleines et tous les animaux se mouvant, lesquels les eaux produisirent en toute abondance, selon leur espèce; il créa aussi tout oiseau ayant des ailes, selon son espèce; et Dieu vit que cela était bon.
";"Und Gott schuf große Walfische und allerlei Getier, daß da lebt und webt, davon das Wasser sich erregte, ein jegliches nach seiner Art, und allerlei gefiedertes Gevögel, ein jegliches nach seiner Art. Und Gott sah, daß es gut war.
";"Criou, pois, Deus os monstros marinhos, e todos os seres viventes que se arrastavam, os quais as águas produziram abundantemente segundo as suas espécies; e toda ave que voa, segundo a sua espécie. E viu Deus que isso era bom.
";"I stworzył Bóg wieloryby wielkie, i wszelką duszę żywiącą płazającą się, którą hojnie wywiodły wody, według rodzaju ich; i wszelkie ptactwo skrzydlaste, według rodzaju ich; i widział Bóg, że to było dobre.
";"Un Dievs radīja lielus jūras zvērus un visus dzīvus radījumus, kas rāpo un pulkiem mudž ūdeņos, pēc to kārtas un ikvienu spārnainu putnu pēc savas kārtas. Un Dievs redzēja to labu esam.
";"En God schiep de grote walvissen, en alle levende wremelende ziel, welke de wateren overvloediglijk voortbrachten, naar haar aard; en alle gevleugeld gevogelte naar zijn aard. En God zag, dat het goed was.
";"Taip Dievas sutvėrė didelius jūros gyvūnus ir visus kitus gyvius, kurie atsirado iš vandens, ir visus paukščius pagal jų rūšį. Ir Dievas matė, kad tai buvo gerai.
";"Och Gud skapade de stora havsdjuren och hela det stim av levande varelser, som vattnet vimlar av, efter deras arter, så ock alla bevingade fåglar, efter deras arter. Och Gud såg att det var gott.
";"E Dio creò i grandi animali acquatici e tutti gli esseri viventi che si muovono, i quali le acque produssero in abbondanza secondo la loro specie, ed ogni volatilo secondo la sua specie. E Dio vide che questo era buono.
";"Stvori Bog morske grdosije i svakovrsne zive stvorove sto mile i vrve vodom i ptice krilate svake vrste. I vidje Bog da je dobro.
"
